Ideal,Noisy,Data Path
"[-0.47850000000000004, -0.47695999999999994, -0.45820000000000005, -0.49129999999999996, -0.5293599999999999]","[-0.44488000000000005, -0.42616, -0.42156000000000005, -0.43232, -0.46175999999999995]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J10.pk
"[-0.4613400000000001, -0.50026, -0.46596000000000004, -0.49618000000000007, -0.48693999999999993]","[-0.43012000000000006, -0.46736000000000005, -0.44268, -0.46616, -0.45899999999999996]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J11.pk
"[-0.46418, -0.4955799999999999, -0.47828, -0.4459599999999999, -0.4932000000000001]","[-0.4474, -0.47343999999999997, -0.45808, -0.44487999999999994, -0.46092000000000005]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J12.pk
"[-0.44564, -0.47109999999999996, -0.45830000000000004, -0.47335999999999995, -0.4708]","[-0.42832, -0.43788, -0.40648, -0.39531999999999995, -0.43]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J13.pk
"[-0.4970400000000001, -0.46062, -0.44798000000000004, -0.45106, -0.42778]","[-0.44212000000000007, -0.42916, -0.42756, -0.41944, -0.38556]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J14.pk
"[-0.44956000000000007, -0.49882000000000004, -0.4711999999999999, -0.4195000000000001, -0.42962]","[-0.42632000000000003, -0.45836000000000005, -0.43987999999999994, -0.38588000000000006, -0.41544]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J15.pk
"[-0.46264000000000005, -0.4610599999999999, -0.4928, -0.5013799999999999, -0.43326]","[-0.42872000000000005, -0.42035999999999996, -0.44012, -0.46036, -0.40352]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J16.pk
"[-0.48846, -0.45668000000000003, -0.47631999999999997, -0.44755999999999996, -0.49049999999999994]","[-0.45244, -0.43208, -0.44292, -0.41087999999999997, -0.44436]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J17.pk
"[-0.46962000000000004, -0.459, -0.4675999999999999, -0.4959, -0.48502]","[-0.44324, -0.43484, -0.42923999999999995, -0.4548, -0.45136000000000004]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J18.pk
"[-0.49356, -0.44278000000000006, -0.45063999999999993, -0.46342000000000005, -0.45536]","[-0.45224000000000003, -0.40608000000000005, -0.40184, -0.43376000000000003, -0.43056]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J19.pk
"[-0.46582, -0.47043999999999997, -0.4806, -0.45266000000000006, -0.42698]","[-0.42756, -0.421, -0.44684, -0.43308, -0.40704]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J20.pk
"[-0.49822, -0.50148, -0.47622000000000003, -0.4678, -0.44458]","[-0.44348, -0.46108000000000005, -0.4444, -0.44132, -0.41136]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J21.pk
"[-0.4606800000000001, -0.46224, -0.4675599999999999, -0.48824, -0.47706000000000015]","[-0.42200000000000004, -0.42607999999999996, -0.42523999999999995, -0.45176, -0.42780000000000007]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J22.pk
"[-0.49596000000000007, -0.45720000000000005, -0.48818000000000006, -0.4783599999999999, -0.4609]","[-0.45084, -0.43360000000000004, -0.45416, -0.4378399999999999, -0.43488]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J23.pk
"[-0.45403999999999994, -0.4744999999999999, -0.4625600000000001, -0.48974000000000006, -0.4768400000000001]","[-0.43964, -0.42779999999999996, -0.42772000000000004, -0.46816, -0.43988000000000005]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J24.pk
"[-0.47920000000000007, -0.46822, -0.4719799999999999, -0.47812, -0.48184000000000005]","[-0.45220000000000005, -0.4408, -0.46419999999999995, -0.45004, -0.462]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J25.pk
"[-0.47819999999999996, -0.4237599999999999, -0.44945999999999997, -0.44011999999999996, -0.46368000000000004]","[-0.44136, -0.40103999999999995, -0.42844, -0.42639999999999995, -0.41444000000000003]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J26.pk
"[-0.48113999999999996, -0.48302, -0.45659999999999995, -0.5192399999999999, -0.4706600000000001]","[-0.44208, -0.4646, -0.44887999999999995, -0.47612, -0.4558400000000001]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J27.pk
"[-0.49718000000000007, -0.503, -0.43687999999999994, -0.5016600000000001, -0.4646]","[-0.44980000000000003, -0.46532, -0.40843999999999997, -0.45432000000000006, -0.42572]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J28.pk
"[-0.4672, -0.43716, -0.4670000000000001, -0.46362000000000003, -0.4947800000000001]","[-0.43296, -0.38876, -0.41976, -0.42656, -0.43732000000000004]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J29.pk
"[-0.47353999999999996, -0.49053999999999987, -0.46919999999999995, -0.48414, -0.49191999999999997]","[-0.43684, -0.4586799999999999, -0.43976, -0.454, -0.44367999999999996]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J30.pk
"[-0.48351999999999984, -0.47995999999999994, -0.47850000000000004, -0.47162000000000004, -0.48496000000000006]","[-0.4354799999999999, -0.42128, -0.43368, -0.44288000000000005, -0.43288000000000004]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J31.pk
"[-0.4767600000000001, -0.48736, -0.47065999999999997, -0.47802000000000006, -0.47409999999999997]","[-0.44236000000000003, -0.44908000000000003, -0.44032, -0.42488000000000004, -0.44364]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J32.pk
"[-0.4935600000000001, -0.48018000000000005, -0.4613600000000001, -0.48008, -0.48406000000000005]","[-0.44532000000000005, -0.44112, -0.4300800000000001, -0.45404, -0.4446]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J33.pk
"[-0.5007199999999999, -0.46714000000000006, -0.4861599999999999, -0.49594000000000005, -0.47919999999999996]","[-0.46579999999999994, -0.43532000000000004, -0.44555999999999996, -0.45044000000000006, -0.4356]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J34.pk
"[-0.45741999999999994, -0.49304, -0.49163999999999997, -0.5312600000000001, -0.47628000000000004]","[-0.44636, -0.44904, -0.45899999999999996, -0.49124, -0.45108000000000004]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J35.pk
"[-0.42032, -0.4536, -0.44593999999999995, -0.45144000000000006, -0.46451999999999993]","[-0.3886, -0.42964, -0.40728, -0.42688000000000004, -0.43323999999999996]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J36.pk
"[-0.46040000000000014, -0.47512, -0.50436, -0.43767999999999996, -0.48726]","[-0.42352000000000006, -0.42684, -0.44376, -0.41384, -0.43348000000000003]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J37.pk
"[-0.49278, -0.47702, -0.47734, -0.47646, -0.4789799999999999]","[-0.47156000000000003, -0.45652, -0.45244, -0.44128, -0.44247999999999993]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J38.pk
"[-0.50278, -0.4630799999999999, -0.45397999999999994, -0.4598, -0.4800000000000001]","[-0.45152000000000003, -0.4409199999999999, -0.43179999999999996, -0.44328, -0.44700000000000006]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J39.pk
"[-0.47472000000000003, -0.4586400000000001, -0.4424, -0.44487999999999994, -0.4680399999999999]","[-0.44168, -0.4076000000000001, -0.40476, -0.41319999999999996, -0.4215999999999999]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J40.pk
"[-0.4857, -0.48502, -0.5032000000000001, -0.4866600000000001, -0.46716000000000013]","[-0.43832000000000004, -0.44984, -0.46672, -0.45136000000000004, -0.43932000000000004]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J41.pk
"[-0.48361999999999994, -0.48805999999999994, -0.4996600000000001, -0.4497, -0.44974000000000014]","[-0.44464, -0.45524, -0.43104000000000003, -0.4122, -0.42780000000000007]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J42.pk
"[-0.46277999999999997, -0.48052, -0.4737, -0.47246000000000005, -0.47978]","[-0.43235999999999997, -0.44928, -0.4366, -0.45768000000000003, -0.44376]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J43.pk
"[-0.4940799999999999, -0.4551200000000001, -0.4484800000000001, -0.48084, -0.46694]","[-0.44399999999999995, -0.41272000000000003, -0.41756000000000004, -0.43648, -0.43308]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J44.pk
"[-0.47594, -0.4459800000000001, -0.44773999999999997, -0.48402, -0.5014000000000001]","[-0.45004, -0.44228000000000006, -0.43088, -0.44308000000000003, -0.46108000000000005]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J45.pk
"[-0.4746, -0.47226000000000007, -0.46774, -0.45902, -0.4657199999999999]","[-0.45004, -0.45708000000000004, -0.45248, -0.4266, -0.43843999999999994]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J46.pk
"[-0.44519999999999993, -0.46430000000000005, -0.47652, -0.4897000000000001, -0.505]","[-0.42044, -0.43284, -0.44032, -0.45864000000000005, -0.46236]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J47.pk
"[-0.47062, -0.45920000000000005, -0.44044000000000005, -0.45058, -0.47959999999999997]","[-0.43788, -0.43176000000000003, -0.43088000000000004, -0.43579999999999997, -0.43163999999999997]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J48.pk
"[-0.43016000000000004, -0.48905999999999994, -0.49484, -0.4948000000000001, -0.51426]","[-0.39588, -0.46503999999999995, -0.44992, -0.44732000000000005, -0.47312000000000004]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_01_J49.pk
"[-0.9804000000000002, -1.00394, -0.9852200000000001, -0.9689999999999999, -0.99884]","[-0.8087200000000001, -0.8182, -0.80632, -0.8176399999999999, -0.79172]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J00.pk
"[0.24627999999999994, 0.25742, 0.17028, 0.21603999999999998, 0.23696]","[0.22359999999999997, 0.24076, 0.1518, 0.19748, 0.23435999999999998]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J01.pk
"[0.41378000000000004, 0.35456, 0.39846000000000004, 0.38636000000000004, 0.36422]","[0.3518, 0.32472, 0.33688, 0.33028, 0.3166]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J02.pk
"[0.2496, 0.31961999999999996, 0.23518, 0.25905999999999996, 0.32662]","[0.23224, 0.30448, 0.20804, 0.21811999999999995, 0.28192]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J03.pk
"[-0.5368400000000001, -0.42904, -0.47884, -0.42052, -0.48651999999999995]","[-0.41900000000000004, -0.31348, -0.34196, -0.3216, -0.39855999999999997]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J04.pk
"[-0.47746000000000005, -0.47853999999999997, -0.49261999999999995, -0.3613400000000001, -0.47598]","[-0.36892, -0.3882, -0.39752, -0.2826000000000001, -0.37612]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J05.pk
"[-0.51766, -0.54348, -0.5331199999999999, -0.54644, -0.56438]","[-0.41904, -0.38376, -0.42219999999999996, -0.41508, -0.44808000000000003]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J06.pk
"[0.35229999999999995, 0.4006800000000001, 0.38042, 0.35208, 0.31404]","[0.33652, 0.3550400000000001, 0.3014, 0.2652, 0.28608]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J07.pk
"[0.31298, 0.34828000000000003, 0.34219999999999995, 0.34054, 0.26192000000000004]","[0.2808, 0.3094, 0.28379999999999994, 0.28104, 0.25812]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J08.pk
"[0.34891999999999995, 0.38171999999999995, 0.37814, 0.39497999999999994, 0.39138000000000006]","[0.30123999999999995, 0.32264, 0.34808, 0.32752, 0.32096]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J09.pk
"[-0.5563199999999999, -0.58264, -0.5117, -0.5233800000000001, -0.5259399999999999]","[-0.42783999999999994, -0.45696000000000003, -0.36884, -0.4234800000000001, -0.41655999999999993]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J10.pk
"[0.23745999999999998, 0.16312, 0.22662000000000004, 0.22935999999999995, 0.2255]","[0.205, 0.13324, 0.20060000000000003, 0.20579999999999998, 0.2222]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J11.pk
"[0.34056, 0.35341999999999996, 0.36288, 0.35209999999999997, 0.3589]","[0.27384, 0.31692, 0.3342, 0.28752, 0.32272]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J12.pk
"[-0.47740000000000005, -0.33440000000000003, -0.39624000000000004, -0.32409999999999994, -0.39264000000000004]","[-0.37884, -0.25912, -0.26164000000000004, -0.23019999999999996, -0.34072]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J13.pk
"[-0.43072, -0.41814, -0.4475, -0.44612, -0.47846]","[-0.31556, -0.33832, -0.30836, -0.34204, -0.34764]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J14.pk
"[-0.35258, -0.43556, -0.46204, -0.5407799999999999, -0.4061599999999999]","[-0.25132, -0.3302, -0.32864, -0.40031999999999995, -0.28267999999999993]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J15.pk
"[-0.20302, -0.33244000000000007, -0.20515999999999998, -0.19437999999999997, -0.34246000000000004]","[-0.13952, -0.28068000000000004, -0.17271999999999998, -0.10507999999999998, -0.2624]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J16.pk
"[0.28008, 0.18025999999999998, 0.19226000000000001, 0.14292000000000005, 0.19939999999999997]","[0.2612, 0.11483999999999998, 0.18364, 0.13984000000000002, 0.17592]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J17.pk
"[-0.011019999999999992, 0.08436, 0.06254, 0.033380000000000014, 0.05188]","[0.020080000000000004, 0.0814, 0.07596, 0.052120000000000014, 0.07492]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J18.pk
"[-0.31677999999999995, -0.14601999999999998, -0.13534000000000002, -0.3053599999999999, -0.26752000000000004]","[-0.25895999999999997, -0.0878, -0.05956, -0.25355999999999995, -0.19424000000000002]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J19.pk
"[0.3144199999999999, 0.30284, 0.26698, 0.33492000000000005, 0.30732]","[0.27331999999999995, 0.29568, 0.2284, 0.31136, 0.24036]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J20.pk
"[-0.44292000000000004, -0.46546, -0.43584, -0.4029400000000001, -0.48546000000000006]","[-0.27728, -0.35048, -0.3362, -0.28800000000000003, -0.34628000000000003]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J21.pk
"[-0.23539999999999997, -0.29668, -0.2621, -0.27773999999999993, -0.32354]","[-0.15603999999999998, -0.22784, -0.20368, -0.24055999999999997, -0.2556]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J22.pk
"[-0.10742, -0.06631999999999999, -0.039319999999999994, -0.03484, -0.13574000000000003]","[-0.06932, -0.03915999999999999, -0.0057599999999999926, -0.007160000000000004, -0.06288]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J23.pk
"[0.06682000000000002, 0.07771999999999998, 0.05706, 0.20042000000000001, 0.024739999999999998]","[0.08020000000000001, 0.07111999999999999, 0.08376, 0.1894, 0.017000000000000005]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J24.pk
"[0.40504, 0.38816, 0.43831999999999993, 0.41344000000000003, 0.39488000000000006]","[0.34288, 0.3282, 0.38367999999999997, 0.35372000000000003, 0.34740000000000004]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J25.pk
"[-0.36592, -0.44910000000000005, -0.32528, -0.42384000000000005, -0.33036]","[-0.26968000000000003, -0.33236000000000004, -0.22876000000000002, -0.30616000000000004, -0.26632]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J26.pk
"[0.22392, 0.13000000000000006, 0.19829999999999998, 0.19385999999999998, 0.18546]","[0.22132000000000002, 0.11024000000000003, 0.13355999999999998, 0.18275999999999998, 0.1658]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J27.pk
"[0.32380000000000003, 0.26924, 0.29763999999999996, 0.304, 0.32072]","[0.29192, 0.24428, 0.25423999999999997, 0.26536, 0.28164]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J28.pk
"[-0.4715800000000001, -0.5889800000000001, -0.5930799999999999, -0.55024, -0.5134799999999999]","[-0.37616000000000005, -0.42744, -0.46524, -0.44208, -0.39508]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J29.pk
"[0.28552, 0.32001999999999997, 0.3224600000000001, 0.2764399999999999, 0.3171800000000001]","[0.25604, 0.24164, 0.29800000000000004, 0.21167999999999995, 0.30000000000000004]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J30.pk
"[-0.38161999999999996, -0.50546, -0.49435999999999997, -0.4075, -0.42424]","[-0.26008, -0.43892, -0.35672, -0.30156, -0.2832]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J31.pk
"[-0.5614600000000001, -0.55366, -0.52882, -0.57006, -0.5958999999999999]","[-0.39984000000000003, -0.42392, -0.41387999999999997, -0.41328000000000004, -0.47203999999999996]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J32.pk
"[0.25632, 0.15905999999999998, 0.25755999999999996, 0.27402000000000004, 0.24702000000000002]","[0.20815999999999998, 0.11535999999999999, 0.22799999999999998, 0.2564, 0.20812]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J33.pk
"[0.2700199999999999, 0.23096, 0.24966000000000005, 0.23390000000000002, 0.22082000000000002]","[0.2512, 0.21124, 0.24216000000000001, 0.20072, 0.24452000000000002]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J34.pk
"[0.38368, 0.37126, 0.4216, 0.37904000000000004, 0.39468000000000003]","[0.35084000000000004, 0.3102, 0.35356, 0.33128, 0.3276]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J35.pk
"[-0.25950000000000006, -0.22912, -0.26666, -0.25544, -0.18596]","[-0.19268000000000002, -0.15752, -0.19064, -0.251, -0.09967999999999999]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J36.pk
"[-0.5328, -0.5446600000000001, -0.51146, -0.5513799999999999, -0.6022000000000001]","[-0.36516000000000004, -0.40048000000000006, -0.39904, -0.40295999999999993, -0.46596000000000004]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J37.pk
"[0.40232, 0.38618, 0.36368, 0.35135999999999995, 0.39149999999999996]","[0.32904, 0.31052, 0.30212, 0.33252, 0.30688]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J38.pk
"[0.055959999999999996, 0.07146000000000002, 0.003079999999999996, 0.027599999999999993, 0.06666]","[0.05624, 0.06648000000000001, 0.02328, 0.02632, 0.0754]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J39.pk
"[-0.4936, -0.5172000000000001, -0.48860000000000003, -0.5073, -0.45087999999999995]","[-0.35684, -0.44352, -0.3718, -0.38964, -0.3616]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J40.pk
"[0.15572, 0.14514, 0.20298000000000002, 0.16862, 0.07372000000000001]","[0.17744, 0.14016, 0.16592, 0.1754, 0.027880000000000005]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J41.pk
"[-0.50786, -0.5867399999999999, -0.57658, -0.5544, -0.52194]","[-0.38164, -0.42591999999999997, -0.48464, -0.48784, -0.45304]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J42.pk
"[0.3783000000000001, 0.29118, 0.31048000000000003, 0.33021999999999996, 0.28152]","[0.31260000000000004, 0.26676, 0.24464000000000002, 0.33036, 0.23632]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J43.pk
"[-0.32466, -0.28462, -0.33192000000000005, -0.35773999999999995, -0.32474000000000003]","[-0.20892, -0.20656, -0.26708000000000004, -0.26836, -0.27476]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J44.pk
"[0.40712000000000004, 0.35585999999999995, 0.32798, 0.40754, 0.31284]","[0.32412, 0.288, 0.301, 0.3612, 0.25324]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J45.pk
"[-0.3627799999999999, -0.12290000000000001, -0.19986, -0.29241999999999996, -0.28774]","[-0.28735999999999995, -0.0994, -0.10016, -0.22111999999999998, -0.21783999999999998]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J46.pk
"[0.22524, 0.21411999999999998, 0.11818000000000002, 0.21766, 0.20921999999999996]","[0.14976, 0.18803999999999998, 0.09024000000000001, 0.19352, 0.16176]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J47.pk
"[0.21198, 0.25186, 0.15058, 0.23348000000000002, 0.22934000000000002]","[0.17484, 0.2186, 0.11756, 0.19404000000000002, 0.19336]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J48.pk
"[-0.39622, -0.41174, -0.3887799999999999, -0.4294800000000001, -0.49773999999999996]","[-0.30828, -0.31356, -0.32599999999999996, -0.3274, -0.38236]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_02_J49.pk
"[-0.09059999999999997, 0.0019000000000000024, -0.009740000000000006, 0.10912000000000001, -0.016539999999999996]","[-0.14035999999999998, 0.019440000000000002, -0.0009600000000000053, 0.08164, 0.0029200000000000033]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_03_J00.pk
"[-0.17201999999999998, -0.1372, -0.07755999999999999, -0.12318000000000003, -0.12767999999999996]","[-0.16055999999999998, -0.11556, -0.06624, -0.10312000000000002, -0.12791999999999998]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_03_J01.pk
"[-0.22892, -0.30079999999999996, -0.24880000000000002, -0.24763999999999997, -0.3023]","[-0.19272, -0.24903999999999998, -0.19472, -0.22676, -0.2468]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_03_J02.pk
"[-0.17670000000000002, -0.21993999999999997, -0.20229999999999998, -0.16024, -0.16499999999999998]","[-0.13796000000000003, -0.19219999999999998, -0.16948, -0.12048, -0.14135999999999999]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_03_J03.pk
"[0.6779599999999998, 0.8205, 0.7336800000000001, 0.7209000000000001, 0.7891]","[0.5395999999999999, 0.61608, 0.54512, 0.5242800000000001, 0.63632]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_03_J04.pk
"[0.7198399999999999, 0.8293200000000001, 0.7055200000000003, 0.7747200000000001, 0.6933799999999999]","[0.54324, 0.57728, 0.5248000000000002, 0.54144, 0.53648]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_03_J05.pk
"[0.9503999999999999, 0.9590399999999999, 0.8977799999999999, 0.9620599999999999, 0.8731199999999999]","[0.68136, 0.63928, 0.6790799999999999, 0.64908, 0.6476]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_03_J06.pk
"[-0.1617, -0.23411999999999997, -0.20562000000000002, -0.22674000000000002, -0.22162000000000004]","[-0.11332, -0.21427999999999997, -0.16548000000000002, -0.18624000000000002, -0.16920000000000002]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_03_J07.pk
"[-0.13962000000000002, -0.1443, -0.17859999999999998, -0.17782000000000003, -0.17772]","[-0.13544, -0.11464, -0.14808, -0.12852000000000002, -0.14332]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_03_J08.pk
"[-0.22907999999999995, -0.26038, -0.21338000000000004, -0.27178, -0.30666]","[-0.18219999999999997, -0.21248, -0.17964000000000002, -0.193, -0.23148]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_03_J09.pk
"[1.0078799999999999, 1.02908, 0.91806, 0.9845400000000003, 1.0089999999999997]","[0.66236, 0.72776, 0.70536, 0.7946000000000002, 0.8171199999999998]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_03_J10.pk
"[-0.12423999999999996, -0.12676, -0.06808, -0.17374, -0.12170000000000002]","[-0.12863999999999998, -0.0888, -0.04008, -0.12408, -0.07096000000000001]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_03_J11.pk
"[-0.26308, -0.23022000000000004, -0.2599, -0.24922000000000002, -0.24750000000000003]","[-0.20552, -0.20372000000000004, -0.22736, -0.20184000000000002, -0.17992000000000002]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_03_J12.pk
"[0.5887399999999999, 0.6493, 0.69502, 0.6557799999999999, 0.5267799999999999]","[0.44639999999999996, 0.50108, 0.52132, 0.51384, 0.40275999999999995]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_03_J13.pk
"[0.7175800000000001, 0.68608, 0.8067599999999999, 0.70536, 0.6913400000000001]","[0.5601200000000001, 0.47856000000000004, 0.56204, 0.53172, 0.49548000000000003]",../tutorials/data/ising_zne_hardware/100q_brisbane/step_03_J14.pk
